"","year","generation","sba","Per_Mice"
"307",1996,2,310,58.6206896551724
"308",1996,2,401,80.7228915662651
"309",1996,2,402,80.5555555555556
"310",1996,2,403,78.2608695652174
"311",1996,2,404,90.9090909090909
"312",1996,2,405,88.8888888888889
"313",1996,2,406,98
"314",1996,2,407,95.5056179775281
"315",1996,2,408,88.4615384615385
"316",1996,2,409,89.7435897435898
"317",1996,2,410,96.7741935483871
"318",1996,2,411,98.4126984126984
"319",1996,2,412,85.7142857142857
"320",1996,2,414,82.051282051282
"321",1996,2,501,92.1875
"322",1999,1,101,60.655737704918
"323",1999,1,102,50
"324",1999,1,103,49.5726495726496
"325",1999,1,104,44.3298969072165
"326",1999,1,105,61.0619469026549
"327",1999,1,106,67.0588235294118
"328",1999,1,107,58.8652482269504
"329",1999,1,108,94.4444444444444
"330",1999,1,109,85.3333333333333
"331",1999,1,110,87.5
"332",1999,1,201,66.412213740458
"333",1999,1,202,73.0769230769231
"334",1999,1,203,51.4285714285714
"335",1999,1,204,44.7619047619048
"336",1999,1,205,64.1975308641975
"337",1999,1,206,76.4705882352941
"338",1999,1,207,57.2519083969466
"339",1999,1,208,51.5151515151515
"340",1999,1,209,49.5575221238938
"341",1999,1,210,79.746835443038
"342",1999,1,211,83.59375
"343",1999,1,212,70
"344",1999,1,213,84
"345",1999,1,214,60.9375
"346",1999,1,215,88.135593220339
"347",1999,1,216,57.3333333333333
"348",1999,1,217,61.1111111111111
"349",1999,1,218,88.7218045112782
"350",1999,1,301,75.5102040816327
"351",1999,1,302,60.3305785123967
"352",1999,1,303,89.3939393939394
"353",1999,1,304,78.3783783783784
"354",1999,1,305,84.2105263157895
"355",1999,1,306,88.8888888888889
"356",1999,1,307,63.0434782608696
"357",1999,1,308,32.6530612244898
"358",1999,1,309,56.9767441860465
"359",1999,1,310,45.7364341085271
"360",1999,1,401,78.3783783783784
"361",1999,1,402,80.6201550387597
"362",1999,1,403,70.4663212435233
"363",1999,1,404,74.5562130177515
"364",1999,1,405,84.6774193548387
"365",1999,1,406,88.9763779527559
"366",1999,1,407,89.0476190476191
"367",1999,1,408,82.6771653543307
"368",1999,1,409,87.5
"369",1999,1,410,93.8271604938272
"370",1999,1,411,98.6301369863014
"371",1999,1,412,84.1121495327103
"372",1999,1,413,93.9130434782609
"373",1999,1,414,79.6610169491525
"374",1999,1,501,90.5660377358491
"375",1999,1,503,96.2962962962963
"376",1999,2,101,61.7647058823529
"377",1999,2,102,65.625
"378",1999,2,103,50
"379",1999,2,104,54.1666666666667
"380",1999,2,105,72.5
"381",1999,2,106,76.3636363636364
"382",1999,2,107,73.4375
"383",1999,2,109,89.1304347826087
"384",1999,2,110,81.8181818181818
"385",1999,2,201,87.5
"386",1999,2,202,85
"387",1999,2,203,47.6190476190476
"388",1999,2,204,51.8518518518519
"389",1999,2,205,65.3846153846154
"390",1999,2,206,80.5555555555556
"391",1999,2,207,68.9655172413793
"392",1999,2,208,72
"393",1999,2,209,30
"394",1999,2,210,98.3050847457627
"395",1999,2,211,98.7341772151899
"396",1999,2,212,89.1304347826087
"397",1999,2,213,80
"398",1999,2,214,72.972972972973
"399",1999,2,215,88.6363636363636
"400",1999,2,216,50
"401",1999,2,217,76
"402",1999,2,218,88.6792452830189
"403",1999,2,301,94.2857142857143
"404",1999,2,302,68.4210526315789
"405",1999,2,303,75.5555555555556
"406",1999,2,304,90.3225806451613
"407",1999,2,305,97.752808988764
"408",1999,2,306,90.1785714285714
"409",1999,2,307,72
"410",1999,2,308,47.0588235294118
"411",1999,2,309,69.2307692307692
"412",1999,2,310,63.6363636363636
"413",1999,2,401,90.4761904761905
"414",1999,2,402,84.8484848484848
"415",1999,2,403,82.3529411764706
"416",1999,2,405,97.2222222222222
"417",1999,2,406,97.2972972972973
"418",1999,2,407,98.8888888888889
"419",1999,2,408,97.7777777777778
"420",1999,2,409,94.5945945945946
"421",1999,2,411,96.6101694915254
"422",1999,2,412,71.4285714285714
"423",1999,2,413,96.7741935483871
"424",1999,2,414,87.1794871794872
"425",1999,2,501,92.156862745098
"426",2002,1,101,50.3496503496503
"427",2002,1,102,52.3809523809524
"428",2002,1,103,43.2835820895522
"429",2002,1,104,34.0909090909091
"430",2002,1,105,47.0588235294118
"431",2002,1,106,65.2631578947368
"432",2002,1,107,80.2816901408451
"433",2002,1,108,94.2307692307692
"434",2002,1,109,75.8241758241758
"435",2002,1,110,79.1666666666667
"436",2002,1,201,88.135593220339
"437",2002,1,202,73.5849056603774
"438",2002,1,203,61.6438356164384
"439",2002,1,204,50
"440",2002,1,205,61.9402985074627
"441",2002,1,206,69.2307692307692
"442",2002,1,207,68.6131386861314
"443",2002,1,208,53.6842105263158
"444",2002,1,209,45.6140350877193
"445",2002,1,210,90.4109589041096
"446",2002,1,211,85.3260869565217
"447",2002,1,212,65.0793650793651
"448",2002,1,213,87.3134328358209
"449",2002,1,214,54.8192771084337
"450",2002,1,215,86.5671641791045
"451",2002,1,216,52.2727272727273
"452",2002,1,217,63.1901840490798
"453",2002,1,218,74.6753246753247
"454",2002,1,301,64.9122807017544
"455",2002,1,302,64.7727272727273
"456",2002,1,303,79.2079207920792
"457",2002,1,304,92.4731182795699
"458",2002,1,305,83.2258064516129
