"","year","generation","sba","Per_Poor_Window","Per_Deteriorate","Per_Poor_Wall","Per_Poor_Kitchen"
"76",1991,2,211,0,2.97029702970298,1.98019801980197,2.04081632653062
"77",1991,2,212,4.22535211267606,7.2463768115942,2.8169014084507,0
"78",1991,2,213,4.91803278688525,8.19672131147541,1.63934426229508,1.63934426229508
"79",1991,2,214,3.77358490566037,7.54716981132076,1.88679245283019,6.12244897959184
"80",1991,2,215,2.1978021978022,1.09890109890109,1.09890109890109,0
"81",1991,2,216,12.5,14.2857142857143,25,25
"82",1991,2,217,0,0,0,0
"83",1991,2,218,0,0,0,0
"84",1991,2,301,7.14285714285714,10.9090909090909,12.5,5.35714285714286
"85",1991,2,302,3.07692307692308,4.61538461538461,1.51515151515152,6.06060606060606
"86",1991,2,303,3.2258064516129,5,4.83870967741935,1.61290322580645
"87",1991,2,304,1.14942528735632,4.76190476190477,4.59770114942529,4.59770114942529
